w,k,Output,Index,Symbol
Āÿÿÿÿÿ,ÿ,590,600,Āÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿ,þ,519,601,ÿÿÿÿÿÿÿÿþ
þþ,Ā,595,602,þþĀ
Āÿ,Ā,529,603,ĀÿĀ
Āþ,þ,526,604,Āþþ
þÿÿĀÿ,Ā,597,605,þÿÿĀÿĀ
ĀÿĀ,ÿ,603,606,ĀÿĀÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,ÿ,592,607,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,ÿ,607,608,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,ÿ,608,609,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿþÿÿÿ,ÿ,579,610,ÿþÿÿÿÿ
ÿÿÿÿþ,ÿ,536,611,ÿÿÿÿþÿ
ÿÿÿĀ,ÿ,574,612,ÿÿÿĀÿ
ÿþÿ,Ā,551,613,ÿþÿĀ
Āÿÿÿ,Ā,541,614,ĀÿÿÿĀ
Āÿ,þ,529,615,Āÿþ
þÿÿĀÿ,þ,597,616,þÿÿĀÿþ
þÿÿÿÿÿÿÿÿ,Ā,588,617,þÿÿÿÿÿÿÿÿĀ
Āþþ,ÿ,604,618,Āþþÿ
ÿÿÿÿÿþ,ā,558,619,ÿÿÿÿÿþā
ā,ÿ,257,620,āÿ
ÿÿÿÿÿ,Ā,516,621,ÿÿÿÿÿĀ
Āþÿÿÿ,ÿ,547,622,Āþÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,Ā,560,623,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿĀ
Āÿÿÿÿþ,ÿ,583,624,Āÿÿÿÿþÿ
ÿþÿĀ,ÿ,613,625,ÿþÿĀÿ
ÿÿÿĀÿ,ÿ,612,626,ÿÿÿĀÿÿ
ÿþÿÿÿ,Ā,579,627,ÿþÿÿÿĀ
Āþþÿ,ÿ,618,628,Āþþÿÿ
ÿĀ,Ā,538,629,ÿĀĀ
Āÿÿÿÿÿÿ,ÿ,600,630,Āÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,ÿ,609,631,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,þ,568,632,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿþ
þþ,ÿ,595,633,þþÿ
ÿĀĀ,þ,629,634,ÿĀĀþ
þÿÿĀþ,ÿ,594,635,þÿÿĀþÿ
ÿÿÿĀþ,ÿ,587,636,ÿÿÿĀþÿ
ÿþ,Ā,524,637,ÿþĀ
Āÿÿ,Ā,539,638,ĀÿÿĀ
Āþÿÿÿÿ,ÿ,622,639,Āþÿÿÿÿÿ
ÿÿÿÿþÿ,ÿ,611,640,ÿÿÿÿþÿÿ
ÿÿÿĀÿÿ,ÿ,626,641,ÿÿÿĀÿÿÿ
ÿÿÿÿÿþÿ,ÿ,562,642,ÿÿÿÿÿþÿÿ
ÿÿ,ā,513,643,ÿÿā
ā,þ,257,644,āþ
þĀÿ,ÿ,565,645,þĀÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,ÿ,631,646,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,ÿ,646,647,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿ,þ,554,648,ÿÿÿÿÿÿÿÿÿÿÿÿÿþ
þÿ,þ,523,649,þÿþ
þÿÿÿ,Ā,537,650,þÿÿÿĀ
Āÿÿÿ,þ,541,651,Āÿÿÿþ
þÿĀ,Ā,527,652,þÿĀĀ
Ā,ý,256,653,Āý
ý,ÿ,253,654,ýÿ
ÿĀÿÿÿ,ÿ,567,655,ÿĀÿÿÿÿ
ÿÿÿÿÿÿÿ,Ā,518,656,ÿÿÿÿÿÿÿĀ
Āþÿÿÿÿ,þ,622,657,Āþÿÿÿÿþ
þĀ,ý,525,658,þĀý
ýĀ,ÿ,543,659,ýĀÿ
ÿÿÿ,þ,514,660,ÿÿÿþ
þÿþ,ÿ,649,661,þÿþÿ
ÿÿÿÿÿþĀ,þ,580,662,ÿÿÿÿÿþĀþ
þÿÿÿĀ,ÿ,650,663,þÿÿÿĀÿ
ÿÿĀ,Ā,545,664,ÿÿĀĀ
Āÿÿÿÿ,Ā,581,665,ĀÿÿÿÿĀ
Āþÿ,Ā,531,666,ĀþÿĀ
ĀÿÿÿÿĀ,ÿ,665,667,ĀÿÿÿÿĀÿ
ÿÿÿÿþÿÿ,ÿ,640,668,ÿÿÿÿþÿÿÿ
ÿÿþĀ,ÿ,582,669,ÿÿþĀÿ
ÿÿĀþÿ,ÿ,561,670,ÿÿĀþÿÿ
ÿÿĀþÿ,þ,561,671,ÿÿĀþÿþ
þÿÿĀ,Ā,585,672,þÿÿĀĀ
Āÿÿÿÿÿÿÿ,ÿ,630,673,Āÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,ÿ,647,674,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿ,þ,553,675,ÿÿÿÿÿÿÿÿÿÿÿÿþ
þþÿ,Ā,633,676,þþÿĀ
ĀÿÿÿĀ,þ,614,677,ĀÿÿÿĀþ
þÿÿ,þ,534,678,þÿÿþ
þĀÿÿ,ÿ,645,679,þĀÿÿÿ
ÿþÿÿĀ,ÿ,598,680,ÿþÿÿĀÿ
ÿÿÿþ,Ā,660,681,ÿÿÿþĀ
Āÿþ,Ā,615,682,ĀÿþĀ
ĀĀþ,þ,575,683,ĀĀþþ
þÿÿÿÿ,ā,549,684,þÿÿÿÿā
āÿ,þ,620,685,āÿþ
þÿÿÿĀÿ,þ,663,686,þÿÿÿĀÿþ
þÿÿÿÿÿ,Ā,557,687,þÿÿÿÿÿĀ
Āÿÿÿÿÿÿÿÿ,ÿ,673,688,Āÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,ÿ,674,689,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,þ,689,690,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿþ
þĀ,þ,525,691,þĀþ
þþÿ,ÿ,633,692,þþÿÿ
ÿÿÿĀÿÿÿ,ÿ,641,693,ÿÿÿĀÿÿÿÿ
ÿÿÿþĀ,ÿ,681,694,ÿÿÿþĀÿ
