w,k,Output,Index,Symbol
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,564,þÿÿ,588,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿþ
þÿÿ,547,ýāÿ,589,þÿÿý
ýāÿ,514,ÿÿÿ,590,ýāÿÿ
ÿÿÿ,579,Āÿÿÿÿÿÿ,591,ÿÿÿĀ
Āÿÿÿÿÿÿ,575,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,592,Āÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,593,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,593,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,555,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,594,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,254,þ,595,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿþ
þ,252,ü,596,þü
ü,548,ÿĀ,597,üÿ
ÿĀ,570,Ăÿ,598,ÿĀĂ
Ăÿ,513,ÿÿ,599,Ăÿÿ
ÿÿ,252,ü,600,ÿÿü
ü,568,þÿĀ,601,üþ
þÿĀ,599,Ăÿÿ,602,þÿĀĂ
Ăÿÿ,550,ÿÿÿÿÿþ,603,Ăÿÿÿ
ÿÿÿÿÿþ,516,ÿÿÿÿÿ,604,ÿÿÿÿÿþÿ
ÿÿÿÿÿ,528,ýā,605,ÿÿÿÿÿý
ýā,256,Ā,606,ýāĀ
Ā,596,þü,607,Āþ
þü,606,ýāĀ,608,þüý
ýāĀ,603,Ăÿÿÿ,609,ýāĀĂ
Ăÿÿÿ,594,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,610,Ăÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,611,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,611,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,612,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,612,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,545,ÿÿþ,613,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿþ,565,ÿÿÿÿĀ,614,ÿÿþÿ
ÿÿÿÿĀ,517,ÿÿÿÿÿÿ,615,ÿÿÿÿĀÿ
ÿÿÿÿÿÿ,596,þü,616,ÿÿÿÿÿÿþ
þü,548,ÿĀ,617,þüÿ
ÿĀ,529,āÿ,618,ÿĀā
āÿ,592,Āÿÿÿÿÿÿÿ,619,āÿĀ
Āÿÿÿÿÿÿÿ,582,þÿý,620,Āÿÿÿÿÿÿÿþ
þÿý,513,ÿÿ,621,þÿýÿ
ÿÿ,619,āÿĀ,622,ÿÿā
āÿĀ,520,ÿÿÿÿÿÿÿÿÿ,623,āÿĀÿ
ÿÿÿÿÿÿÿÿÿ,253,ý,624,ÿÿÿÿÿÿÿÿÿý
ý,549,Āÿÿÿÿ,625,ýĀ
Āÿÿÿÿ,592,Āÿÿÿÿÿÿÿ,626,ĀÿÿÿÿĀ
Āÿÿÿÿÿÿÿ,616,ÿÿÿÿÿÿþ,627,Āÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿþ,615,ÿÿÿÿĀÿ,628,ÿÿÿÿÿÿþÿ
ÿÿÿÿĀÿ,550,ÿÿÿÿÿþ,629,ÿÿÿÿĀÿÿ
ÿÿÿÿÿþ,537,ýÿÿ,630,ÿÿÿÿÿþý
ýÿÿ,561,āĀ,631,ýÿÿā
āĀ,604,ÿÿÿÿÿþÿ,632,āĀÿ
ÿÿÿÿÿþÿ,513,ÿÿ,633,ÿÿÿÿÿþÿÿ
ÿÿ,627,Āÿÿÿÿÿÿÿÿ,634,ÿÿĀ
Āÿÿÿÿÿÿÿÿ,613,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,635,Āÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,611,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,636,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,564,þÿÿ,637,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿþ
þÿÿ,562,Āÿÿÿÿÿ,638,þÿÿĀ
Āÿÿÿÿÿ,582,þÿý,639,Āÿÿÿÿÿþ
þÿý,529,āÿ,640,þÿýā
āÿ,587,ÿĀÿÿ,641,āÿÿ
ÿĀÿÿ,616,ÿÿÿÿÿÿþ,642,ÿĀÿÿÿ
ÿÿÿÿÿÿþ,253,ý,643,ÿÿÿÿÿÿþý
ý,524,þĀ,644,ýþ
þĀ,570,Ăÿ,645,þĀĂ
Ăÿ,597,üÿ,646,Ăÿü
üÿ,632,āĀÿ,647,üÿā
āĀÿ,519,ÿÿÿÿÿÿÿÿ,648,āĀÿÿ
ÿÿÿÿÿÿÿÿ,544,þĀÿÿ,649,ÿÿÿÿÿÿÿÿþ
þĀÿÿ,636,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,650,þĀÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,651,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,651,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,520,ÿÿÿÿÿÿÿÿÿ,652,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿ,567,þýþ,653,ÿÿÿÿÿÿÿÿÿþ
þýþ,618,ÿĀā,654,þýþÿ
ÿĀā,579,Āÿÿÿÿÿÿ,655,ÿĀāĀ
Āÿÿÿÿÿÿ,647,üÿā,656,Āÿÿÿÿÿÿü
üÿā,635,Āÿÿÿÿÿÿÿÿÿ,657,üÿāĀ
Āÿÿÿÿÿÿÿÿÿ,563,ÿþ,658,Āÿÿÿÿÿÿÿÿÿÿ
ÿþ,631,ýÿÿā,659,ÿþý
ýÿÿā,533,þĀÿ,660,ýÿÿāþ
þĀÿ,658,Āÿÿÿÿÿÿÿÿÿÿ,661,þĀÿĀ
Āÿÿÿÿÿÿÿÿÿÿ,571,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,662,Āÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,567,þýþ,663,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿþ
þýþ,525,Āÿ,664,þýþĀ
Āÿ,648,āĀÿÿ,665,Āÿā
āĀÿÿ,515,ÿÿÿÿ,666,āĀÿÿÿ
ÿÿÿÿ,586,þÿÿÿ,667,ÿÿÿÿþ
þÿÿÿ,579,Āÿÿÿÿÿÿ,668,þÿÿÿĀ
Āÿÿÿÿÿÿ,638,þÿÿĀ,669,Āÿÿÿÿÿÿþ
þÿÿĀ,652,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,670,þÿÿĀÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,671,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,671,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,568,þÿĀ,672,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿþ
þÿĀ,532,ÿÿÿÿÿÿÿþ,673,þÿĀÿ
ÿÿÿÿÿÿÿþ,631,ýÿÿā,674,ÿÿÿÿÿÿÿþý
ýÿÿā,642,ÿĀÿÿÿ,675,ýÿÿāÿ
ÿĀÿÿÿ,667,ÿÿÿÿþ,676,ÿĀÿÿÿÿ
ÿÿÿÿþ,537,ýÿÿ,677,ÿÿÿÿþý
ýÿÿ,610,Ăÿÿÿÿ,678,ýÿÿĂ
Ăÿÿÿÿ,653,ÿÿÿÿÿÿÿÿÿþ,679,Ăÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿþ,676,ÿĀÿÿÿÿ,680,ÿÿÿÿÿÿÿÿÿþÿ
