w,k,Output,Index,Symbol
ĀĀþ,574,ÿÿÿĀ,586,ĀĀþÿ
ÿÿÿĀ,576,þÿÿÿÿÿÿÿ,587,ÿÿÿĀþ
þÿÿÿÿÿÿÿ,553,ÿÿÿÿÿÿÿÿÿÿÿÿ,588,þÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿ,581,Āÿÿÿÿ,589,ÿÿÿÿÿÿÿÿÿÿÿÿĀ
Āÿÿÿÿ,570,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,590,Āÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,591,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,591,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,517,ÿÿÿÿÿÿ,592,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿ,585,þÿÿĀ,593,ÿÿÿÿÿÿþ
þÿÿĀ,254,þ,594,þÿÿĀþ
þ,527,þÿĀ,595,þþ
þÿĀ,585,þÿÿĀ,596,þÿĀþ
þÿÿĀ,573,ÿþÿÿ,597,þÿÿĀÿ
ÿþÿÿ,544,Āþÿÿ,598,ÿþÿÿĀ
Āþÿÿ,590,Āÿÿÿÿÿ,599,ĀþÿÿĀ
Āÿÿÿÿÿ,519,ÿÿÿÿÿÿÿÿ,600,Āÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿ,595,þþ,601,ÿÿÿÿÿÿÿÿþ
þþ,529,Āÿ,602,þþĀ
Āÿ,526,Āþ,603,ĀÿĀ
Āþ,597,þÿÿĀÿ,604,Āþþ
þÿÿĀÿ,603,ĀÿĀ,605,þÿÿĀÿĀ
ĀÿĀ,592,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,606,ĀÿĀÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,607,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,607,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,608,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,608,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,579,ÿþÿÿÿ,609,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿþÿÿÿ,536,ÿÿÿÿþ,610,ÿþÿÿÿÿ
ÿÿÿÿþ,574,ÿÿÿĀ,611,ÿÿÿÿþÿ
ÿÿÿĀ,551,ÿþÿ,612,ÿÿÿĀÿ
ÿþÿ,541,Āÿÿÿ,613,ÿþÿĀ
Āÿÿÿ,529,Āÿ,614,ĀÿÿÿĀ
Āÿ,597,þÿÿĀÿ,615,Āÿþ
þÿÿĀÿ,588,þÿÿÿÿÿÿÿÿ,616,þÿÿĀÿþ
þÿÿÿÿÿÿÿÿ,604,Āþþ,617,þÿÿÿÿÿÿÿÿĀ
Āþþ,558,ÿÿÿÿÿþ,618,Āþþÿ
ÿÿÿÿÿþ,257,ā,619,ÿÿÿÿÿþā
ā,516,ÿÿÿÿÿ,620,āÿ
ÿÿÿÿÿ,547,Āþÿÿÿ,621,ÿÿÿÿÿĀ
Āþÿÿÿ,560,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,622,Āþÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,583,Āÿÿÿÿþ,623,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿĀ
Āÿÿÿÿþ,613,ÿþÿĀ,624,Āÿÿÿÿþÿ
ÿþÿĀ,612,ÿÿÿĀÿ,625,ÿþÿĀÿ
ÿÿÿĀÿ,579,ÿþÿÿÿ,626,ÿÿÿĀÿÿ
ÿþÿÿÿ,618,Āþþÿ,627,ÿþÿÿÿĀ
Āþþÿ,538,ÿĀ,628,Āþþÿÿ
ÿĀ,600,Āÿÿÿÿÿÿ,629,ÿĀĀ
Āÿÿÿÿÿÿ,609,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,630,Āÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,568,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,631,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,595,þþ,632,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿþ
þþ,629,ÿĀĀ,633,þþÿ
ÿĀĀ,594,þÿÿĀþ,634,ÿĀĀþ
þÿÿĀþ,587,ÿÿÿĀþ,635,þÿÿĀþÿ
ÿÿÿĀþ,524,ÿþ,636,ÿÿÿĀþÿ
ÿþ,539,Āÿÿ,637,ÿþĀ
Āÿÿ,622,Āþÿÿÿÿ,638,ĀÿÿĀ
Āþÿÿÿÿ,611,ÿÿÿÿþÿ,639,Āþÿÿÿÿÿ
ÿÿÿÿþÿ,626,ÿÿÿĀÿÿ,640,ÿÿÿÿþÿÿ
ÿÿÿĀÿÿ,562,ÿÿÿÿÿþÿ,641,ÿÿÿĀÿÿÿ
ÿÿÿÿÿþÿ,513,ÿÿ,642,ÿÿÿÿÿþÿÿ
ÿÿ,257,ā,643,ÿÿā
ā,565,þĀÿ,644,āþ
þĀÿ,631,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,645,þĀÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,646,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,646,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
