w,k,Output,Index,Symbol
ÿÿÿÿÿþ,ÿ,550,604,ÿÿÿÿÿþÿ
ÿÿÿÿÿ,ý,516,605,ÿÿÿÿÿý
ýā,Ā,528,606,ýāĀ
Ā,þ,256,607,Āþ
þü,ý,596,608,þüý
ýāĀ,Ă,606,609,ýāĀĂ
Ăÿÿÿ,ÿ,603,610,Ăÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,ÿ,594,611,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,ÿ,611,612,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,ÿ,612,613,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿþ,ÿ,545,614,ÿÿþÿ
ÿÿÿÿĀ,ÿ,565,615,ÿÿÿÿĀÿ
ÿÿÿÿÿÿ,þ,517,616,ÿÿÿÿÿÿþ
þü,ÿ,596,617,þüÿ
ÿĀ,ā,548,618,ÿĀā
āÿ,Ā,529,619,āÿĀ
Āÿÿÿÿÿÿÿ,þ,592,620,Āÿÿÿÿÿÿÿþ
þÿý,ÿ,582,621,þÿýÿ
ÿÿ,ā,513,622,ÿÿā
āÿĀ,ÿ,619,623,āÿĀÿ
ÿÿÿÿÿÿÿÿÿ,ý,520,624,ÿÿÿÿÿÿÿÿÿý
ý,Ā,253,625,ýĀ
Āÿÿÿÿ,Ā,549,626,ĀÿÿÿÿĀ
Āÿÿÿÿÿÿÿ,ÿ,592,627,Āÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿþ,ÿ,616,628,ÿÿÿÿÿÿþÿ
ÿÿÿÿĀÿ,ÿ,615,629,ÿÿÿÿĀÿÿ
ÿÿÿÿÿþ,ý,550,630,ÿÿÿÿÿþý
ýÿÿ,ā,537,631,ýÿÿā
āĀ,ÿ,561,632,āĀÿ
ÿÿÿÿÿþÿ,ÿ,604,633,ÿÿÿÿÿþÿÿ
ÿÿ,Ā,513,634,ÿÿĀ
Āÿÿÿÿÿÿÿÿ,ÿ,627,635,Āÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,ÿ,613,636,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,þ,611,637,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿþ
þÿÿ,Ā,564,638,þÿÿĀ
Āÿÿÿÿÿ,þ,562,639,Āÿÿÿÿÿþ
þÿý,ā,582,640,þÿýā
āÿ,ÿ,529,641,āÿÿ
ÿĀÿÿ,ÿ,587,642,ÿĀÿÿÿ
ÿÿÿÿÿÿþ,ý,616,643,ÿÿÿÿÿÿþý
ý,þ,253,644,ýþ
þĀ,Ă,524,645,þĀĂ
Ăÿ,ü,570,646,Ăÿü
üÿ,ā,597,647,üÿā
āĀÿ,ÿ,632,648,āĀÿÿ
ÿÿÿÿÿÿÿÿ,þ,519,649,ÿÿÿÿÿÿÿÿþ
þĀÿÿ,ÿ,544,650,þĀÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,ÿ,636,651,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,ÿ,651,652,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿ,þ,520,653,ÿÿÿÿÿÿÿÿÿþ
þýþ,ÿ,567,654,þýþÿ
ÿĀā,Ā,618,655,ÿĀāĀ
Āÿÿÿÿÿÿ,ü,579,656,Āÿÿÿÿÿÿü
üÿā,Ā,647,657,üÿāĀ
Āÿÿÿÿÿÿÿÿÿ,ÿ,635,658,Āÿÿÿÿÿÿÿÿÿÿ
ÿþ,ý,563,659,ÿþý
ýÿÿā,þ,631,660,ýÿÿāþ
þĀÿ,Ā,533,661,þĀÿĀ
Āÿÿÿÿÿÿÿÿÿÿ,ÿ,658,662,Āÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,þ,571,663,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿþ
þýþ,Ā,567,664,þýþĀ
Āÿ,ā,525,665,Āÿā
āĀÿÿ,ÿ,648,666,āĀÿÿÿ
ÿÿÿÿ,þ,515,667,ÿÿÿÿþ
þÿÿÿ,Ā,586,668,þÿÿÿĀ
Āÿÿÿÿÿÿ,þ,579,669,Āÿÿÿÿÿÿþ
þÿÿĀ,ÿ,638,670,þÿÿĀÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,ÿ,652,671,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,þ,671,672,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿþ
þÿĀ,ÿ,568,673,þÿĀÿ
ÿÿÿÿÿÿÿþ,ý,532,674,ÿÿÿÿÿÿÿþý
ýÿÿā,ÿ,631,675,ýÿÿāÿ
ÿĀÿÿÿ,ÿ,642,676,ÿĀÿÿÿÿ
ÿÿÿÿþ,ý,667,677,ÿÿÿÿþý
ýÿÿ,Ă,537,678,ýÿÿĂ
Ăÿÿÿÿ,ÿ,610,679,Ăÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿþ,ÿ,653,680,ÿÿÿÿÿÿÿÿÿþÿ
ÿĀÿÿÿÿ,ÿ,676,681,ÿĀÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,ÿ,671,682,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,ÿ,682,683,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿþ,ý,545,684,ÿÿþý
ýþ,ÿ,644,685,ýþÿ
ÿÿÿĀ,ā,591,686,ÿÿÿĀā
āĀÿÿÿ,ÿ,666,687,āĀÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,þ,572,688,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿþ
þÿĀÿ,ÿ,673,689,þÿĀÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,ü,671,690,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿü
üÿāĀ,ÿ,657,691,üÿāĀÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,ÿ,683,692,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,ÿ,692,693,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿþ,Ā,663,694,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿþĀ
Āÿÿÿÿÿÿÿÿ,þ,627,695,Āÿÿÿÿÿÿÿÿþ
þýÿ,Ă,557,696,þýÿĂ
